network_seed,scenario,mean_distance_realized_cost,mean_free_flow_realized_cost,mean_ml_realized_cost,mean_expected_oracle_route_realized_cost,mean_ml_improvement_vs_distance_percent,mean_ml_improvement_vs_free_flow_percent,mean_draw_level_ml_improvement_vs_free_flow_percent,distance_realized_std,free_flow_realized_std,ml_realized_std,distance_p90_realized_cost,free_flow_p90_realized_cost,ml_p90_realized_cost,expected_oracle_route_p90_realized_cost,ml_p90_improvement_vs_free_flow_percent,probability_ml_beats_free_flow,probability_ml_beats_distance,decision_scenario_index,realization_count,win_probability,tie_probability,loss_probability,mean_savings_minutes,median_savings_minutes,conditional_win_probability,expected_ml_improvement_vs_free_flow_percent,expected_outcome_vs_free_flow,expected_ml_regret_vs_oracle_percent
3,weekday_rush,165.13385293229945,147.43910255328913,147.95533787352133,147.43910255328913,10.402782199856292,-0.3501346056047882,-0.4849185475052149,8.4784019199708,9.051905085757156,9.246091661498754,175.7786570935601,159.26972162732778,159.7190510836072,159.2697216273278,-0.2821185669745857,0.51,0.98,13,100,0.51,0.0,0.49,-0.5162353202321981,0.26243794919959385,0.51,-0.1869273790335648,loss,0.1869273790335648
3,weekend_midday,123.83869101310825,104.57445654937244,105.49054011237266,104.57445654937244,14.816169930925252,-0.8760108282922039,-1.0118787737844148,8.760527305480844,7.622790754174874,7.648505340582892,134.3315733000381,114.1071264943267,115.23537369553236,114.10712649432672,-0.988761382280328,0.44,0.99,14,100,0.44,0.0,0.56,-0.91608356300024,-0.9353392892204795,0.44,-1.0180212187560644,loss,1.0180212187560644
3,weekend_evening,142.07905919507954,135.58446553210015,125.63845460446296,125.63845460446296,11.571448096403186,7.335656698283365,7.225281611542949,8.228412574580656,7.482262562059074,7.352631301504024,152.77139801164088,144.89276702534272,135.69516406034995,135.69516406034992,6.347868947374058,0.92,1.0,15,100,0.92,0.0,0.08,9.946010927637206,9.844085796611004,0.92,8.154374526641442,win,0.0
4,weekday_midday,160.3584433471943,129.0598842964589,123.4771201876158,123.4771201876158,22.999302306599624,4.325716034286175,4.172798214563986,8.650093031633446,7.536442345483851,7.247339077184428,171.8104120095961,137.77262428396523,131.91754314635656,131.91754314635656,4.249814626119532,0.8,1.0,16,100,0.8,0.0,0.2,5.582764108843145,5.734545515404008,0.8,3.962141196803683,win,0.0
4,weekday_rush,187.6307256333182,155.54004504174372,154.3117697259182,154.31176972591825,17.757729068593154,0.7896842999472476,0.6357318157879523,8.503134153853601,9.70610687047472,8.42303285674004,199.392543014995,168.2384360551021,164.35585363738377,164.35585363738377,2.307785609970084,0.59,1.0,17,100,0.59,0.0,0.41,1.2282753158255204,0.7805474986698613,0.59,1.479372463143056,win,0.0
4,weekend_midday,137.9336979038193,112.82410655935864,109.63304392904612,109.63304392904614,20.517577941328835,2.8283517836976007,2.6605919340155193,8.76316724968053,8.269581252802038,8.49331433484479,149.15308100307396,123.29740814877916,122.07446182214892,122.07446182214892,0.991867018935654,0.73,1.0,18,100,0.73,0.0,0.27,3.1910626303124796,2.533719044911841,0.73,2.985165574806648,win,0.0
4,weekend_evening,161.1519263353823,133.67717804840416,130.14845362326025,130.14845362326025,19.23866094383445,2.639735874635358,2.4885861419928053,8.161455927163992,8.399896739521035,7.6500038196043265,172.13526110269115,142.5604219439894,138.8128412163378,138.8128412163378,2.628766579495673,0.71,1.0,19,100,0.71,0.0,0.29,3.528724425143864,3.5291198976190614,0.71,2.161540875249365,win,0.0
5,weekday_midday,158.85394620494876,132.75050071336074,132.22527663041103,132.75050071336074,16.762989029043183,0.3956475343801426,0.1936056572981445,8.380402033991768,8.535688562861926,8.261506883542623,169.0944378038156,145.02747584501654,142.37670203443977,145.02747584501654,1.8277735271415336,0.55,1.0,20,100,0.55,0.0,0.45,0.5252240829496572,1.1725129860153913,0.55,-0.3042375551130808,loss,0.3042375551130808
5,weekday_rush,210.342582637981,159.0929901272308,159.0929901272308,159.0929901272308,24.36482041249607,0.0,3.6249284084137575e-16,8.137680803193419,7.652357129814317,7.652357129814317,221.48481826297865,168.93084518000063,168.93084518000066,168.9308451800006,-1.6824464117325565e-14,0.13,1.0,21,100,0.0,1.0,0.0,8.526512829121202e-16,0.0,,0.0,tie,0.0
5,weekend_midday,151.42417635108606,129.02528699203083,121.75496575587913,121.75496575587913,19.593443603362974,5.634803382844452,5.477850130101415,7.7979864283464,7.775385875218117,8.516417589572352,162.08277161718794,137.91558642660038,132.64956289353384,132.64956289353384,3.818294704398156,0.78,1.0,22,100,0.78,0.0,0.22,7.270321236151715,7.048814003698837,0.78,4.901877363845844,win,0.0
