mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2531105995178222,0.014273387151474276,0.006310319900512696,0.0003418104520830181,0.85,500,5,8,2,0.02,"{'model__subsample': 0.85, 'model__n_estimators': 500, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_depth': 2, 'model__learning_rate': 0.02}",-2.7671854350229577,-2.71942063992786,-2.7836754257347245,-2.824643854173456,-2.7217784074206635,-2.763340752455932,0.039604938103460635,19
1.2771485805511475,0.011275640953283301,0.006734514236450195,0.0016819703764314336,1.0,250,10,4,4,0.08,"{'model__subsample': 1.0, 'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_depth': 4, 'model__learning_rate': 0.08}",-2.1009185365213874,-2.0693660379223777,-2.070613476256924,-2.127530022267149,-2.121240706431281,-2.0979337558798234,0.024456385798091528,4
0.6849645137786865,0.011659573445373455,0.005319976806640625,0.00019652417568315358,0.85,150,5,2,4,0.03,"{'model__subsample': 0.85, 'model__n_estimators': 150, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_depth': 4, 'model__learning_rate': 0.03}",-2.3178703014395783,-2.194586307829353,-2.2743524787389764,-2.3421429212728437,-2.2765668090872238,-2.2811037636735945,0.050257319925899345,15
0.7612619876861573,0.013659252482535232,0.007155179977416992,0.0019240790224473992,0.7,250,2,4,3,0.08,"{'model__subsample': 0.7, 'model__n_estimators': 250, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_depth': 3, 'model__learning_rate': 0.08}",-2.124315223373413,-2.0861044497320624,-2.1113773613176225,-2.1498867945424687,-2.138258051812865,-2.1219883761556866,0.022130016375583886,10
0.9321847438812256,0.02890097099044665,0.006986761093139648,0.0011043844091418104,0.7,250,10,2,4,0.05,"{'model__subsample': 0.7, 'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_depth': 4, 'model__learning_rate': 0.05}",-2.079554303990091,-2.0705815179661555,-2.0596205108752343,-2.1354616466295977,-2.111186200661091,-2.091280836024434,0.027987558225864972,1
0.885294771194458,0.04203525906218165,0.004896688461303711,0.00014743218897613123,0.85,350,5,4,2,0.05,"{'model__subsample': 0.85, 'model__n_estimators': 350, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_depth': 2, 'model__learning_rate': 0.05}",-2.4987552021606128,-2.4498811415555815,-2.4938300048666635,-2.5927943330254775,-2.467992349498893,-2.5006506062214457,0.049365331606999886,16
1.7872918128967286,0.031181809067527266,0.00782318115234375,0.0008827630739166426,1.0,350,10,1,4,0.05,"{'model__subsample': 1.0, 'model__n_estimators': 350, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_depth': 4, 'model__learning_rate': 0.05}",-2.1061134778580435,-2.059342265445176,-2.080501349747736,-2.1366379123579073,-2.1334546468186324,-2.103209930445499,0.0299354475519971,5
0.5308581829071045,0.007906366052258768,0.005373573303222657,0.0015502688436409798,0.7,250,10,1,2,0.03,"{'model__subsample': 0.7, 'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_depth': 2, 'model__learning_rate': 0.03}",-2.987264327810567,-2.975133635494607,-3.030239546625047,-3.064567404856854,-2.9080602225042727,-2.993053027458269,0.05305757990778531,20
1.067808485031128,0.01575098310421211,0.006615829467773437,0.0008245406232209225,0.7,500,5,1,2,0.02,"{'model__subsample': 0.7, 'model__n_estimators': 500, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_depth': 2, 'model__learning_rate': 0.02}",-2.742370882387843,-2.698093060384566,-2.7698923085029215,-2.7877316207474503,-2.6833675807114052,-2.736291090546837,0.04017989862073144,18
0.9068235397338867,0.03894587413035126,0.006816577911376953,0.0001745238590700612,0.7,250,10,1,4,0.03,"{'model__subsample': 0.7, 'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_depth': 4, 'model__learning_rate': 0.03}",-2.1012530560061236,-2.05297961924336,-2.0953334206192173,-2.158208950020656,-2.1269960659735787,-2.106954222372587,0.03495576265937032,6
