instance,num_customers,num_vehicles,solver,status,feasible,distance,runtime_seconds,optimality_gap_percent
cvrp_n10_seed1,10,2,Clarke-Wright,FEASIBLE,True,107.75656599056848,4.6582979848608375e-05,
cvrp_n10_seed1,10,2,OR-Tools,FEASIBLE,True,99.00916198709595,1.0004346670175437,
cvrp_n10_seed2,10,2,Clarke-Wright,FEASIBLE,True,96.43048988846829,3.904200275428593e-05,
cvrp_n10_seed2,10,2,OR-Tools,FEASIBLE,True,96.43048988846829,1.000406250008382,
cvrp_n10_seed3,10,2,Clarke-Wright,FEASIBLE,True,100.91936910111319,3.6500015994533896e-05,
cvrp_n10_seed3,10,2,OR-Tools,FEASIBLE,True,100.91936910111319,1.0004365829809103,
cvrp_n10_seed4,10,2,Clarke-Wright,FEASIBLE,True,83.46135153446876,3.666698466986418e-05,
cvrp_n10_seed4,10,2,OR-Tools,FEASIBLE,True,83.19713016032063,1.0003719999804161,
cvrp_n20_seed0,20,4,Clarke-Wright,FEASIBLE,True,143.227149246448,0.00012137502199038863,
cvrp_n20_seed0,20,4,OR-Tools,FEASIBLE,True,143.22714924644802,1.0004659999976866,
cvrp_n20_seed1,20,4,Clarke-Wright,FEASIBLE,True,173.29867742434323,0.00012004098971374333,
cvrp_n20_seed1,20,4,OR-Tools,FEASIBLE,True,173.2986774243432,1.000517333013704,
cvrp_n20_seed2,20,4,Clarke-Wright,FEASIBLE,True,144.29798905618304,0.00011120899580419064,
cvrp_n20_seed2,20,4,OR-Tools,FEASIBLE,True,145.03679445042957,1.0005001249955967,
cvrp_n20_seed3,20,4,Clarke-Wright,FEASIBLE,True,192.3856462550804,0.00011004199041053653,
cvrp_n20_seed3,20,4,OR-Tools,FEASIBLE,True,186.32815957565805,1.0004342920146883,
cvrp_n20_seed4,20,4,Clarke-Wright,FEASIBLE,True,142.86649721272238,0.00010512498556636274,
cvrp_n20_seed4,20,4,OR-Tools,FEASIBLE,True,139.09604761082608,1.0003927500220016,
cvrp_n50_seed0,50,10,Clarke-Wright,FEASIBLE,True,309.7824765958829,0.0005936670058872551,
cvrp_n50_seed0,50,10,OR-Tools,FEASIBLE,True,318.78889791382204,1.0008626249909867,
cvrp_n50_seed1,50,10,Clarke-Wright,FEASIBLE,True,363.4522687832546,0.0005732499994337559,
cvrp_n50_seed1,50,10,OR-Tools,FEASIBLE,True,356.359007339763,1.000772416999098,
cvrp_n50_seed2,50,10,Clarke-Wright,FEASIBLE,True,326.2442252983409,0.0006100409955251962,
cvrp_n50_seed2,50,10,OR-Tools,FEASIBLE,True,324.41104124857685,1.000789417012129,
cvrp_n50_seed3,50,10,Clarke-Wright,FEASIBLE,True,398.33908211077335,0.0005631250096485019,
cvrp_n50_seed3,50,10,OR-Tools,FEASIBLE,True,383.66634286011873,1.0005890829779673,
cvrp_n50_seed4,50,10,Clarke-Wright,FEASIBLE,True,316.65015869384564,0.0005527920147869736,
cvrp_n50_seed4,50,10,OR-Tools,FEASIBLE,True,317.35335926491734,1.0005676670116372,
