instance,num_customers,baseline_distance,baseline_runtime,challenger_distance,challenger_runtime,objective_improvement_percent,outcome,runtime_ratio,baseline_solver,challenger_solver
cvrp_n50_seed20,50,293.42166424458486,0.0005681250186171,285.2047239012864,3.0008632499957457,2.800386387437684,win,5282.047351655608,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed21,50,355.237439783013,0.0005640420131385,352.06342598019194,3.0006866669864394,0.8934907887974297,win,5319.9701389081165,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed22,50,314.6693851979917,0.0005905420111957,320.4526447940078,3.0006779589748476,-1.837884417124748,loss,5081.226910341611,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed23,50,334.79607878062086,0.0005999580025672,329.56693866532265,3.0006202080112416,1.5618881004650786,win,5001.383755482366,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed24,50,349.5410936667915,0.0005747499817516,332.50982531681996,3.000694249989465,4.872465257606304,win,5220.868804283545,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed25,50,338.7078022485223,0.0006081250030547,346.32740485811735,3.0013625000137836,-2.2496094152576624,loss,4935.436768653657,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed26,50,300.8923118471854,0.0005980000132694,303.8065625518876,3.0006164590013213,-0.9685361140707015,loss,5017.753164579845,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed27,50,348.958324866583,0.0005815000040456,326.3509248339477,3.0006949169910513,6.47853867400319,win,5160.266373370039,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed28,50,324.61071092648046,0.0005748750118073,327.75882404064885,3.0006287089781836,-0.9698118417544709,loss,5219.619303933155,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed29,50,350.59839990008913,0.0005805419932585,346.8918004007123,3.0006113330018707,1.0572208830482643,win,5168.637872619453,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed0,20,143.227149246448,0.0001165000139735,143.22714924644802,5.000700292002875,0.0,tie,42924.460877235375,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed1,20,173.29867742434325,0.0001125420094467,173.2986774243432,5.000561374996323,0.0,tie,44432.84245217421,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed2,20,144.29798905618304,0.0001153330085799,143.61899006720776,5.000566333008464,0.4705533274693864,win,43357.63364348715,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed3,20,192.3856462550804,0.0001166250149253,186.32815957565805,5.000631540984614,3.1486167483570138,win,42877.864103062195,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed4,20,142.86649721272238,0.0001156250073108,139.09604761082608,5.000512625003466,2.6391419090245187,win,43247.67402229943,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed5,20,163.92932944868627,0.0001241249847225,154.5567355441471,5.000487749988679,5.717460039677046,win,40285.90828162451,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed6,20,172.30823090891104,0.000114083988592,158.6705314930674,5.000560999993468,7.914711528234007,win,43832.27709435228,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed7,20,151.5501247022181,0.000115332979476,148.02101831340707,5.00115037499927,2.3286727053147662,win,43362.708548078175,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed8,20,148.07972290184094,0.0001235000090673,143.50175191735906,5.0006056660204194,3.0915583138391773,win,40490.731165010635,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed9,20,130.1345955127031,0.0001150830066762,123.87599935338004,5.000585125002544,4.809325402415477,win,43451.98539235508,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed10,20,168.01866918268342,0.0001174589851871,165.74719093686477,5.000612792005995,1.3519201508190273,win,42573.267460471725,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed11,20,174.21872182424605,0.0001305839978158,168.2010983079917,5.000474875007058,3.4540624872251007,win,38293.16729956958,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed12,20,166.68293725032365,0.0001129170123022,160.99175463615626,5.000458875001641,3.4143762451344357,win,44284.37108855576,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed14,20,178.76969112680678,0.0001365829957649,158.50224584019426,5.001001750002615,11.337182023901466,win,36615.112459612676,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed15,20,152.9402803363503,0.0001188330061268,143.27325566287732,5.0006692910101265,6.320783937503583,win,42081.48437879451,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed16,20,177.80830077816665,0.0001197080127894,173.16245069955193,5.000782874994911,2.6128420654617712,win,41774.838279144205,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed17,20,159.39919123414805,0.0001338330039288,155.28799275457547,5.000424375000875,2.579184027059127,win,37363.16325725703,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed18,20,146.95533562019284,0.0001134579943027,146.95533562019284,5.000754166016122,0.0,tie,44075.820278246516,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed19,20,164.82987420056287,0.0001179590180981,160.04218778382125,5.000582667009439,2.9046229877698178,win,42392.54232220491,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed20,20,140.82812782155403,0.0001143330009654,137.95098420997442,5.000571749988012,2.043017723863584,win,43736.90629795774,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed21,20,159.77964734687387,0.0001335410051979,154.33589368255355,5.000550208002096,3.407038227154301,win,37445.80326163916,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed22,20,185.2979038737208,0.0001134169870056,176.45637271151023,5.000603666994721,4.771522492902031,win,44090.429476387115,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed23,20,151.4595249936742,0.0001358330191578,140.24645075778068,5.000586832989939,7.403347023808399,win,36814.22134319679,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed24,20,139.0056728759637,0.0001144169946201,138.38517001297902,5.000701667013345,0.4463867194386916,win,43705.93445158414,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed25,20,186.23319467823416,0.0001168750168289,178.32725300118133,5.000601207982982,4.245183943019597,win,42785.88652785947,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed26,20,158.60279596047053,0.0001374160056002,158.60279596047053,5.000539833999937,0.0,tie,36389.79180160844,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed27,20,190.1752637465777,0.0001260420249309,177.57007734204,5.000483791023726,6.628194517103458,win,39673.14706158633,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed28,20,160.12128415814175,0.0001105000264942,151.92459393475795,5.000972334004473,5.119051015908941,win,45257.65732976514,Clarke-Wright,OR-Tools-5s
cvrp_n20_seed29,20,186.5074116352143,0.000131250009872,181.0348867757133,4.994501833978575,2.9342130757809297,win,38053.34444431207,Clarke-Wright,OR-Tools-5s
cvrp_n50_seed0,50,309.7824765958829,0.0007023750222288,311.77090674659746,4.996348916989518,-0.6418794802614102,loss,7113.505974536134,Clarke-Wright,OR-Tools-5s
cvrp_n50_seed1,50,363.4522687832546,0.0005745000089518,355.5757889247697,4.998336874996312,2.167129093691823,win,8700.325147280662,Clarke-Wright,OR-Tools-5s
cvrp_n50_seed2,50,326.2442252983409,0.0006098340090829,314.7862851893558,4.999392208002973,3.5120744584849413,win,8197.955728184656,Clarke-Wright,OR-Tools-5s
cvrp_n50_seed3,50,398.33908211077335,0.000583542016102,381.9456414929119,4.999916041997494,4.1154487104287325,win,8568.219432417933,Clarke-Wright,OR-Tools-5s
cvrp_n50_seed4,50,316.65015869384564,0.0005610409716609,317.09763256587485,5.000349791022018,-0.14131490534380195,loss,8912.62856653594,Clarke-Wright,OR-Tools-5s
cvrp_n50_seed5,50,333.89370974070295,0.0006008750060573,327.7104192118618,5.000395208015107,1.8518739192909652,win,8321.85588950635,Clarke-Wright,OR-Tools-5s
cvrp_n50_seed6,50,360.9358313602941,0.0005708330136258,357.46483734441495,5.000508625002112,0.9616651255702978,win,8760.020015731101,Clarke-Wright,OR-Tools-5s
cvrp_n50_seed7,50,359.29977111764214,0.000568415998714,363.8460850044371,5.000627083005384,-1.2653261293913838,loss,8797.477717585254,Clarke-Wright,OR-Tools-5s
cvrp_n50_seed8,50,321.79782842489476,0.0006044170004315,325.447476214791,5.000596833007876,-1.1341430760301174,loss,8273.421875026504,Clarke-Wright,OR-Tools-5s
cvrp_n50_seed9,50,301.19023452686963,0.0005755420133937,297.489664190835,5.000807042000815,1.2286488444247627,win,8688.865322817031,Clarke-Wright,OR-Tools-5s
cvrp_n50_seed10,50,389.21937411878775,0.0005736660095863,377.57698973439193,5.000747708021663,2.991213993587747,win,8717.176239233626,Clarke-Wright,OR-Tools-5s
cvrp_n50_seed11,50,334.2357845254562,0.0006202920048963,328.4307184326697,5.000740624993341,1.736817648364148,win,8061.913720505492,Clarke-Wright,OR-Tools-5s
cvrp_n50_seed12,50,361.61700925428954,0.0007435409934259,354.2767759858188,5.000753500004066,2.0298362855241354,win,6725.592192251378,Clarke-Wright,OR-Tools-5s
