instance,num_customers,seed,num_vehicles,time_limit_seconds,status,feasible,distance,runtime_seconds,best_bound,mip_gap_percent,node_count,solution_count,gurobi_status
cvrp_n10_seed4,10,4,2,0.01,FEASIBLE,True,109.33876366616268,0.014381583023350686,64.00386448407036,41.46278745249999,1.0,3,9
cvrp_n10_seed4,10,4,2,0.05,FEASIBLE,True,84.50143865093455,0.052808750013355166,67.31203428626586,20.342144038134176,1.0,10,9
cvrp_n10_seed4,10,4,2,0.1,FEASIBLE,True,83.19713016032063,0.10391379200154915,73.1080978867548,12.126659001487534,1409.0,10,9
cvrp_n10_seed4,10,4,2,0.5,OPTIMAL,True,83.19713016032063,0.18577329203253612,83.19713016032063,0.0,2223.0,10,2
cvrp_n10_seed4,10,4,2,1.0,OPTIMAL,True,83.19713016032063,0.18785375001607463,83.19713016032063,0.0,2223.0,10,2
cvrp_n10_seed5,10,5,2,0.01,FEASIBLE,True,119.54354223582982,0.014567916980013251,72.14331974889645,39.651010502453126,1.0,4,9
cvrp_n10_seed5,10,5,2,0.05,FEASIBLE,True,102.85661017919843,0.0528099579969421,79.61245505356013,22.598601183863597,1.0,9,9
cvrp_n10_seed5,10,5,2,0.1,FEASIBLE,True,100.94094729210434,0.10347570898011327,82.99116931208701,17.782454456340705,1128.0,10,9
cvrp_n10_seed5,10,5,2,0.5,OPTIMAL,True,100.94094729210434,0.26083933300105855,100.94094729210434,0.0,6013.0,10,2
cvrp_n10_seed5,10,5,2,1.0,OPTIMAL,True,100.94094729210434,0.25969254196388647,100.94094729210434,0.0,6013.0,10,2
cvrp_n10_seed6,10,6,2,0.01,FEASIBLE,True,111.96211549220385,0.013941209006588906,64.25657820204064,42.60864228979761,1.0,3,9
cvrp_n10_seed6,10,6,2,0.05,FEASIBLE,True,100.52521978000937,0.05318333295872435,70.38135524341278,29.98637018905682,1.0,5,9
cvrp_n10_seed6,10,6,2,0.1,FEASIBLE,True,99.52844552994668,0.10382624994963408,71.34112493830614,28.32086891496701,383.0,6,9
cvrp_n10_seed6,10,6,2,0.5,OPTIMAL,True,99.52844552994668,0.27080962498439476,99.52844552994668,0.0,5558.0,6,2
cvrp_n10_seed6,10,6,2,1.0,OPTIMAL,True,99.52844552994668,0.2620055000297725,99.52844552994668,0.0,5558.0,6,2
cvrp_n10_seed7,10,7,2,0.01,FEASIBLE,True,101.767192872697,0.01349899999331683,47.833886341584666,52.99675171209526,1.0,4,9
cvrp_n10_seed7,10,7,2,0.05,FEASIBLE,True,80.64351699327896,0.053171042003668845,62.76816714523472,22.165885758100085,1.0,9,9
cvrp_n10_seed7,10,7,2,0.1,FEASIBLE,True,80.64351699327896,0.10400200000731274,70.07559069906706,13.104495796100583,986.0,9,9
cvrp_n10_seed7,10,7,2,0.5,OPTIMAL,True,80.64351699327896,0.12038745800964534,80.64351699327896,0.0,1452.0,9,2
cvrp_n10_seed7,10,7,2,1.0,OPTIMAL,True,80.64351699327896,0.11442083300789818,80.64351699327896,0.0,1452.0,9,2
